nombre,tipo,recomendacion,precio,enlace,pais,ciudad
Peck 47,Desayuno,Huevos benedictinos,€10 - 20,https://www.google.com/maps?q=Peck+47+Brussels,Bélgica,Bruselas
Angelina,Desayuno,Croque Monsieur,€30 - 40,https://www.google.com/maps?q=Angelina+Paris,Francia,París
Cafe de la Paix,Desayuno,Paquete Continental,€21,https://www.google.com/maps?q=Cafe+de+la+Paix+Paris,Francia,París
Cafe de Flore,Desayuno,Desayuno parisino,€20 - 30,https://www.google.com/maps?q=Cafe+de+Flore+Paris,Francia,París
Les Deux Magots,Desayuno,Café y croissant,€20 - 30,https://www.google.com/maps?q=Les+Deux+Magots+Paris,Francia,París
Fin De Siecle,Comida,Comida belga tradicional,€20 - 30,https://www.google.com/maps?q=Fin+De+Siecle+Brussels,Bélgica,Bruselas
Fritland,Comida,Papas fritas,€1 - 10,https://www.google.com/maps?q=Fritland+Brussels,Bélgica,Bruselas
9 et Voisins,Comida,Comida de estilo belga,€20 - 30,https://www.google.com/maps?q=9+et+Voisins+Brussels,Bélgica,Bruselas
Le Machon d'Henri,Comida,Entrecot,€30 - 40,https://www.google.com/maps?q=Le+Machon+d'Henri+Paris,Francia,París
Chez Fernand,Comida,Comida francesa,€30 - 40,https://www.google.com/maps?q=Chez+Fernand+Paris,Francia,París
Bouillon Chartier,Comida,Comida francesa tradicional,€20 - 30,https://www.google.com/maps?q=Bouillon+Chartier+Paris,Francia,París
Le Consulat,Comida,Comida parisina,€20 - 30,https://www.google.com/maps?q=Le+Consulat+Paris,Francia,París
Le Train Bleu,Comida,Comida gourmet,€30 - 40,https://www.google.com/maps?q=Le+Train+Bleu+Paris,Francia,París
Chez Alain Miam Miam,Comida,Comida rápida francesa,€10 - 20,https://www.google.com/maps?q=Chez+Alain+Miam+Miam+Paris,Francia,París
La Baguette du Relais,Comida,Sándwiches y baguettes,€10 - 20,https://www.google.com/maps?q=La+Baguette+du+Relais+Paris,Francia,París
Piccolo Buco,Comida,Pizza tradicional,€20 - 30,https://www.google.com/maps?q=Piccolo+Buco+Rome,Italia,Roma
Osteria da Fortunata,Comida,Comida italiana casera,€20 - 30,https://www.google.com/maps?q=Osteria+da+Fortunata+Rome,Italia,Roma
Aux Merveilleux de Fred,Desayuno,Merveilleux (pasteles de merengue),€4 - 10,https://www.google.com/maps?q=Aux+Merveilleux+de+Fred+Brussels,Bélgica,Bruselas
Le Cirio,Comida,Waterzooi de pollo (crema flamenca),€20 - 35,https://www.google.com/maps?q=Le+Cirio+Brussels,Bélgica,Bruselas
Chez Léon,Comida,Moules-frites (mejillones con patatas),€18 - 28,https://www.google.com/maps?q=Chez+Léon+Brussels,Bélgica,Bruselas
La Fabrique en Ville,Desayuno,Brunch con productos locales,€15 - 25,https://www.google.com/maps?q=La+Fabrique+en+Ville+Brussels,Bélgica,Bruselas
Li O Lait,Desayuno,Tostadas con miel local,€8 - 15,https://www.google.com/maps?q=Li+O+Lait+Bruges,Bélgica,Brujas
De Vlaamsche Pot,Comida,Carbonnades flamandes (estofado de cerveza),€25 - 40,https://www.google.com/maps?q=De+Vlaamsche+Pot+Bruges,Bélgica,Brujas
That's Toast!,Desayuno,Tostadas gourmet con toppings creativos,€9 - 16,https://www.google.com/maps?q=That's+Toast!+Bruges,Bélgica,Brujas
Bistro Christophe,Comida,Filete al Roquefort con cerveza trapense,€28 - 45,https://www.google.com/maps?q=Bistro+Christophe+Bruges,Bélgica,Brujas
Otto Waffle Atelier,Desayuno,Waffles de Lieja con toppings premium,€7 - 14,https://www.google.com/maps?q=Otto+Waffle+Atelier+Bruges,Bélgica,Brujas
Simon Says,Desayuno,Gofres con sirope de arce,€7 - 12,https://www.google.com/maps?q=Simon+Says+Ghent,Bélgica,Gante
't Klokhuys,Comida,Filete de ternera con mostaza,€22 - 38,https://www.google.com/maps?q='t+Klokhuys+Ghent,Bélgica,Gante
De Superette,Desayuno,Pan recién horneado y mermeladas caseras,€6 - 12,https://www.google.com/maps?q=De+Superette+Ghent,Bélgica,Gante
JEF,Comida,Hamburguesa belga con queso de Gante,€14 - 22,https://www.google.com/maps?q=JEF+Ghent,Bélgica,Gante
Julie's House,Desayuno,Tarta de manzana con canela,€5 - 11,https://www.google.com/maps?q=Julie's+House+Ghent,Bélgica,Gante
Roscioli Caffè,Desayuno,Cornetto relleno de crema,€3 - 8,https://www.google.com/maps?q=Roscioli+Caffè+Rome,Italia,Roma
Flavio al Velavevodetto,Comida,Pasta alla gricia (con guanciale),€15 - 25,https://www.google.com/maps?q=Flavio+al+Velavevodetto+Rome,Italia,Roma
Regoli Pasticceria,Desayuno,Maritozzi (bollos rellenos de crema),€2 - 6,https://www.google.com/maps?q=Regoli+Pasticceria+Rome,Italia,Roma
Armando al Pantheon,Comida,Saltimbocca alla romana,€18 - 30,https://www.google.com/maps?q=Armando+al+Pantheon+Rome,Italia,Roma
Bar Sant'Eustachio,Desayuno,Cappuccino con crema secreta,€4 - 8,https://www.google.com/maps?q=Bar+Sant'Eustachio+Rome,Italia,Roma
Pasticceria Tonolo,Desayuno,Bomboloni (donas venecianas),€2 - 5,https://www.google.com/maps?q=Pasticceria+Tonolo+Venice,Italia,Venecia
Osteria alle Testiere,Comida,Risotto de mariscos del mercado,€30 - 45,https://www.google.com/maps?q=Osteria+alle+Testiere+Venice,Italia,Venecia
Pasticceria Dal Mas,Desayuno,Frittelle (dulces de Carnaval),€3 - 7,https://www.google.com/maps?q=Pasticceria+Dal+Mas+Venice,Italia,Venecia
Trattoria Antiche Carampane,Comida,Sarde in saor (sardinas marinadas),€25 - 40,https://www.google.com/maps?q=Trattoria+Antiche+Carampane+Venice,Italia,Venecia
Caffè Florian,Desayuno,Chocolate caliente histórico,€8 - 15,https://www.google.com/maps?q=Caffè+Florian+Venice,Italia,Venecia
Ditta Artigianale,Desayuno,Avocado toast con huevo pochê,€9 - 14,https://www.google.com/maps?q=Ditta+Artigianale+Florence,Italia,Florencia
Trattoria Sostanza,Comida,Pollo al burro (icono florentino),€18 - 30,https://www.google.com/maps?q=Trattoria+Sostanza+Florence,Italia,Florencia
Pasticceria Nencioni,Desayuno,Brigidini (galletas toscanas),€2 - 5,https://www.google.com/maps?q=Pasticceria+Nencioni+Florence,Italia,Florencia
All'Antico Vinaio,Comida,Panini con porchetta,€6 - 12,https://www.google.com/maps?q=All'Antico+Vinaio+Florence,Italia,Florencia
Caffè Gilli,Desayuno,Cantucci con vino dulce,€5 - 10,https://www.google.com/maps?q=Caffè+Gilli+Florence,Italia,Florencia
Gran Plaza,Turismo,Plaza principal de Bruselas,€0,https://www.google.com/maps?q=Grand+Place+Brussels,Bélgica,Bruselas
Les Galeries Royales Saint-Hubert,Turismo,Galerías comerciales históricas,€0,https://www.google.com/maps?q=Galeries+Royales+Saint-Hubert+Brussels,Bélgica,Bruselas
Atomium,Turismo,Monumento icónico de Bruselas,€16 - 22,https://www.google.com/maps?q=Atomium+Brussels,Bélgica,Bruselas
Parque del Cincuentenario,Turismo,Parque con arco del triunfo,€0,https://www.google.com/maps?q=Parc+du+Cinquantenaire+Brussels,Bélgica,Bruselas
Mini Europa,Turismo,Maquetas de monumentos europeos,€17 - 25,https://www.google.com/maps?q=Mini+Europe+Brussels,Bélgica,Bruselas
Coliseo Romano,Turismo,Anfiteatro histórico,€16 - 24,https://www.google.com/maps?q=Colosseum+Rome,Italia,Roma
Foro Romano,Turismo,Ruinas antiguas (incluido con Coliseo),€16 - 24,https://www.google.com/maps?q=Roman+Forum+Rome,Italia,Roma
Museo Louvre,Turismo,Museo de arte famoso,€17 - 22,https://www.google.com/maps?q=Louvre+Museum+Paris,Francia,París
Jardin de Tuleries,Turismo,Jardines reales,€0,https://www.google.com/maps?q=Jardin+des+Tuileries+Paris,Francia,París
Opera de Garnier,Turismo,Ópera histórica,€12 - 25,https://www.google.com/maps?q=Palais+Garnier+Paris,Francia,París
Galerias Lafayette,Turismo,Centro comercial icónico,€0,https://www.google.com/maps?q=Galeries+Lafayette+Paris,Francia,París
Torre Eiffel,Turismo,Monumento emblemático,€11 - 28,https://www.google.com/maps?q=Eiffel+Tower+Paris,Francia,París
Los Inválidos (Tumba Napoleon),Turismo,Museo militar y tumba,€14,https://www.google.com/maps?q=Les+Invalides+Paris,Francia,París
Grand Palace,Turismo,Exposiciones temporales,€10 - 15,https://www.google.com/maps?q=Grand+Palais+Paris,Francia,París
Petit Palace,Turismo,Museo de bellas artes,€0,https://www.google.com/maps?q=Petit+Palais+Paris,Francia,París
Montmartre,Turismo,Barrio artístico,€0,https://www.google.com/maps?q=Montmartre+Paris,Francia,París
Iglesia Sacre-Cour,Turismo,Basílica en Montmartre,€0,https://www.google.com/maps?q=Sacre-Coeur+Paris,Francia,París
Arco del Triunfo,Turismo,Vistas panorámicas,€13,https://www.google.com/maps?q=Arc+de+Triomphe+Paris,Francia,París
Campos Eliseos,Turismo,Avenida famosa,€0,https://www.google.com/maps?q=Champs-Élysées+Paris,Francia,París
Panteon,Turismo,Mausoleo neoclásico,€11.50,https://www.google.com/maps?q=Pantheon+Paris,Francia,París
Saint Chapel,Turismo,Capilla gótica,€11.50,https://www.google.com/maps?q=Sainte-Chapelle+Paris,Francia,París
Museo de Orsay,Turismo,Arte impresionista,€16,https://www.google.com/maps?q=Musée+d'Orsay+Paris,Francia,París
Museo l'Orangerie,Turismo,Monet y arte moderno,€12.50,https://www.google.com/maps?q=Musée+de+l'Orangerie+Paris,Francia,París
Piazza Venecia,Turismo,Plaza central,€0,https://www.google.com/maps?q=Piazza+Venezia+Rome,Italia,Roma
Fontana di Trevi,Turismo,Fuente barroca,€0,https://www.google.com/maps?q=Trevi+Fountain+Rome,Italia,Roma
Pantheon,Turismo,Templo antiguo,€5 - 12,https://www.google.com/maps?q=Pantheon+Rome,Italia,Roma
Trastevere,Turismo,Barrio pintoresco,€0,https://www.google.com/maps?q=Trastevere+Rome,Italia,Roma
Piazza San Marcos,Turismo,Plaza principal,€0,https://www.google.com/maps?q=Piazza+San+Marco+Venice,Italia,Venecia
Iglesia San Marcos,Turismo,Basílica bizantina,€3 - 5,https://www.google.com/maps?q=St+Mark's+Basilica+Venice,Italia,Venecia
Ponte Rialto,Turismo,Puente icónico,€0,https://www.google.com/maps?q=Rialto+Bridge+Venice,Italia,Venecia
Gondolas,Turismo,Paseo en góndola,€80 - 120,https://www.google.com/maps?q=Gondola+Rides+Venice,Italia,Venecia
Coleccion Peggy,Turismo,Arte moderno,€10 - 16,https://www.google.com/maps?q=Peggy+Guggenheim+Collection+Venice,Italia,Venecia
Guggenheim,Turismo,Arte contemporáneo,€10 - 16,https://www.google.com/maps?q=Peggy+Guggenheim+Collection+Venice,Italia,Venecia
Piazza España,Turismo,Plaza y escalinata,€0,https://www.google.com/maps?q=Piazza+di+Spagna+Rome,Italia,Roma
Piazza Navona,Turismo,Plaza barroca,€0,https://www.google.com/maps?q=Piazza+Navona+Rome,Italia,Roma
Piazza del Popolo,Turismo,Plaza histórica,€0,https://www.google.com/maps?q=Piazza+del+Popolo+Rome,Italia,Roma
Gravensteen,Turismo,Impresionante castillo medieval en el centro de la ciudad,€12,https://www.google.com/maps?q=Gravensteen,Bélgica,Gante
Graslei y Korenlei,Turismo,Encantadoras calles junto al río con arquitectura histórica,Gratis,https://www.google.com/maps?q=Graslei,Bélgica,Gante
Museo de Bellas Artes de Gante,Turismo,Importante colección de arte flamenco,€15,https://www.google.com/maps?q=Museo+Bellas+Artes+Gante,Bélgica,Gante
Belfort de Gante,Turismo,Torre campanario con vistas panorámicas,€10,https://www.google.com/maps?q=Belfort+Gante,Bélgica,Gante
Canal Tour Brujas,Turismo,Paseo en barco por los canales de Brujas,€12,https://www.google.com/maps?q=Canal+Tour+Brujas,Bélgica,Brujas
Markt Brujas,Turismo,Plaza principal con arquitectura medieval,Gratis,https://www.google.com/maps?q=Markt+Brujas,Bélgica,Brujas
Basílica de la Santa Sangre,Turismo,Reliquia religiosa en capilla del siglo XII,€5,https://www.google.com/maps?q=Basílica+Santa+Sangre,Bélgica,Brujas
Museo del Chocolate,Turismo,Exhibición sobre la historia del chocolate belga,€11,https://www.google.com/maps?q=Museo+Chocolate+Brujas,Bélgica,Brujas
Galería Uffizi,Turismo,Una de las mejores colecciones de arte renacentista,€20,https://www.google.com/maps?q=Galería+Uffizi,Italia,Florencia
Catedral de Santa María del Fiore,Turismo,Icono de Florencia con cúpula de Brunelleschi,€18,https://www.google.com/maps?q=Duomo+Florencia,Italia,Florencia
Jardines de Boboli,Turismo,Extensos jardines históricos detrás de Palazzo Pitti,€10,https://www.google.com/maps?q=Jardines+Boboli,Italia,Florencia
Piazzale Michelangelo,Turismo,Plaza con las mejores vistas de Florencia,Gratis,https://www.google.com/maps?q=Piazzale+Michelangelo,Italia,Florencia
Castillo de los Condes de Flandes,Turismo,Fortaleza medieval con vistas a la ciudad,€12,https://www.google.com/maps?q=Castillo+de+los+Condes+de+Flandes,Bélgica,Gante
Catedral de San Bavón,Turismo,Iglesia gótica con el cuadro "La Adoración del Cordero Místico",€8,https://www.google.com/maps?q=Catedral+de+San+Bavón,Bélgica,Gante
Minnewater,Turismo,Lago del amor con entorno romántico,Gratis,https://www.google.com/maps?q=Minnewater,Bélgica,Brujas
Museo Groeninge,Turismo,Arte flamenco de los siglos XIV-XX,€14,https://www.google.com/maps?q=Museo+Groeninge,Bélgica,Brujas
Ponte Vecchio,Turismo,Puente medieval con joyerías tradicionales,Gratis,https://www.google.com/maps?q=Ponte+Vecchio,Italia,Florencia
Palazzo Pitti,Turismo,Palacio renacentista con jardines Boboli,€16,https://www.google.com/maps?q=Palazzo+Pitti,Italia,Florencia
Neuhaus,Postre,Chocolates de lujo y pralinés,€10 - 50,https://www.google.com/maps?q=Neuhaus+Brussels,Bélgica,Bruselas
Maison Dandoy,Postre,Waffles belgas tradicionales,€4 - 12,https://www.google.com/maps?q=Maison+Dandoy+Brussels,Bélgica,Bruselas
Leonidas,Postre,Chocolates asequibles y deliciosos,€5 - 25,https://www.google.com/maps?q=Leonidas+Brussels,Bélgica,Bruselas
Cédric Grolet,Postre,Pastelería francesa,€1 - 8,https://www.google.com/maps?q=Cédric+Grolet,Francia,París
Odette Paris,Postre,Macarons,,https://www.google.com/maps?q=Odette+Paris,Francia,París
La Crème de Paris,Postre,Postres parisinos,,https://www.google.com/maps?q=La+Crème+de+Paris+Paris,Francia,París
Gelateria Valentino,Postre,Helados italianos,€1 - 20,https://www.google.com/maps?q=Gelateria+Valentino+Rome,Italia,Roma
Venchi,Postre,Chocolate y helados,€1 - 20,https://www.google.com/maps?q=Venchi+Rome,Italia,Roma
Pierre Marcolini,Postre,Chocolates gourmet y macarons,€15 - 60,https://www.google.com/maps?q=Pierre+Marcolini+Brussels,Bélgica,Bruselas
Waffle Factory,Postre,Waffles con toppings creativos,€5 - 15,https://www.google.com/maps?q=Waffle+Factory+Brussels,Bélgica,Bruselas
Mary Chocolatier,Postre,Chocolates artesanales desde 1919,€12 - 40,https://www.google.com/maps?q=Mary+Chocolatier+Brussels,Bélgica,Bruselas
Frederic Blondeel,Postre,Chocolate bean-to-bar,€8 - 35,https://www.google.com/maps?q=Frederic+Blondeel+Brussels,Bélgica,Bruselas
Planète Chocolat,Postre,Demostraciones de chocolate,€6 - 20,https://www.google.com/maps?q=Planète+Chocolat+Brussels,Bélgica,Bruselas
Galler,Postre,Chocolates reales belgas,€7 - 30,https://www.google.com/maps?q=Galler+Brussels,Bélgica,Bruselas
Godiva,Postre,Chocolates premium,€10 - 45,https://www.google.com/maps?q=Godiva+Brussels,Bélgica,Bruselas
Pompi,Postre,Tiramisú clásico,€4 - 10,https://www.google.com/maps?q=Pompi+Rome,Italia,Roma
Giolitti,Postre,Helados históricos desde 1900,€2 - 10,https://www.google.com/maps?q=Giolitti+Rome,Italia,Roma
Grom,Postre,Helados orgánicos,€3 - 9,https://www.google.com/maps?q=Grom+Rome,Italia,Roma
Pasticceria De Bellis,Postre,Cannoli sicilianos,€3 - 8,https://www.google.com/maps?q=Pasticceria+De+Bellis+Rome,Italia,Roma
Roscioli Caffè,Postre,Croissants rellenos y pasteles,€4 - 12,https://www.google.com/maps?q=Roscioli+Caffè+Rome,Italia,Roma
I Dolci di Nonna Vincenza,Postre,Cassata siciliana,€4 - 15,https://www.google.com/maps?q=I+Dolci+di+Nonna+Vincenza+Rome,Italia,Roma
Gelateria dei Gracchi,Postre,Helados con sabores únicos,€2.50 - 7,https://www.google.com/maps?q=Gelateria+dei+Gracchi+Rome,Italia,Roma
Pasticceria Boccione,Postre,Tarta de ricotta y cerezas,€3 - 6,https://www.google.com/maps?q=Pasticceria+Boccione+Rome,Italia,Roma
Susanna e Sorella,Postre,Panna cotta y profiteroles,€5 - 12,https://www.google.com/maps?q=Susanna+e+Sorella+Venice,Italia,Venecia
Pasticceria Tonolo,Postre,Bomboloni (donas venecianas),€1.50 - 5,https://www.google.com/maps?q=Pasticceria+Tonolo+Venice,Italia,Venecia
Gelateria Alaska,Postre,Helados artesanales con sabores locales,€2 - 7,https://www.google.com/maps?q=Gelateria+Alaska+Venice,Italia,Venecia
Pasticceria Rizzardini,Postre,Frittelle venecianas (carnaval),€1.50 - 4,https://www.google.com/maps?q=Pasticceria+Rizzardini+Venice,Italia,Venecia
Gelateria Nico,Postre,Gianduiotto (helado con avellanas),€3 - 8,https://www.google.com/maps?q=Gelateria+Nico+Venice,Italia,Venecia
Pasticceria Marchini,Postre,Baicoli (galletas venecianas),€5 - 15,https://www.google.com/maps?q=Pasticceria+Marchini+Venice,Italia,Venecia
Gelateria La Romana,Postre,Helado cremoso con cobertura de chocolate,€2.50 - 7,https://www.google.com/maps?q=Gelateria+La+Romana+Florence,Italia,Florencia
Pasticceria Sieni,Postre,Cantucci toscanos,€4 - 12,https://www.google.com/maps?q=Pasticceria+Sieni+Florence,Italia,Florencia
Gelateria dei Neri,Postre,Helados intensos y cremosos,€2 - 6,https://www.google.com/maps?q=Gelateria+dei+Neri+Florence,Italia,Florencia
Pasticceria Robiglio,Postre,Buche de Noël y pasteles finos,€4 - 15,https://www.google.com/maps?q=Pasticceria+Robiglio+Florence,Italia,Florencia
Gelateria Santa Trinita,Postre,Helado de queso con peras,€3 - 7,https://www.google.com/maps?q=Gelateria+Santa+Trinita+Florence,Italia,Florencia
Pierre Hermé,Postre,Macarons innovadores (especialmente Rosa-Isphahan),€2 - 8,https://www.google.com/maps?q=Pierre+Hermé+Paris,Francia,París
Ladurée,Postre,Macarons clásicos y pasteles,€3 - 10,https://www.google.com/maps?q=Ladurée+Paris,Francia,París
Des Gâteaux et du Pain,Postre,Pasteles de Claire Damon,€5 - 15,https://www.google.com/maps?q=Des+Gâteaux+et+du+Pain+Paris,Francia,París
Angelina,Postre,Hot chocolate y Mont-Blanc,€8 - 18,https://www.google.com/maps?q=Angelina+Paris,Francia,París
Stohrer,Postre,Baba au rhum histórico (desde 1730),€4 - 12,https://www.google.com/maps?q=Stohrer+Paris,Francia,París
Yann Couvreur,Postre,Pasteles de temporada y crujientes,€6 - 14,https://www.google.com/maps?q=Yann+Couvreur+Paris,Francia,París
Carl Marletti,Postre,Tarta de lirio de los valles y éclairs,€5 - 12,https://www.google.com/maps?q=Carl+Marletti+Paris,Francia,París
Boulangerie Utopie,Postre,Pain perdu y cruasanes premiados,€3 - 9,https://www.google.com/maps?q=Boulangerie+Utopie+Paris,Francia,París
Du Pain et des Idées,Postre,Chocolatines y escargots pistache,€3 - 8,https://www.google.com/maps?q=Du+Pain+et+des+Idées+Paris,Francia,París
Mori Yoshida,Postre,Opéra cake reinventado,€7 - 16,https://www.google.com/maps?q=Mori+Yoshida+Paris,Francia,París
Cyril Lignac,Postre,Éclair au caramel beurre salé,€5 - 12,https://www.google.com/maps?q=Cyril+Lignac+Paris,Francia,París
Sébastien Gaudard,Postre,Tartas frutales clásicas,€6 - 15,https://www.google.com/maps?q=Sébastien+Gaudard+Paris,Francia,París
Pâtisserie Viennoise,Postre,Strudel de manzana y kugelhopf,€4 - 10,https://www.google.com/maps?q=Pâtisserie+Viennoise+Paris,Francia,París
Blé Sucré,Postre,Madalenas y financiers excepcionales,€2 - 7,https://www.google.com/maps?q=Blé+Sucré+Paris,Francia,París
Jacques Genin,Postre,Caramels y chocolates finos,€10 - 40,https://www.google.com/maps?q=Jacques+Genin+Paris,Francia,París
Pleine Cour,Postre,Tarta de manzana caramelizada y sablée breton,€7 - 14,https://www.google.com/maps?q=Pleine+Cour+Paris,Francia,París
Claire Damon,Postre,San Honoré de frambuesa,€8 - 16,https://www.google.com/maps?q=Claire+Damon+Paris,Francia,París
Benoît Castel,Postre,Brioche perdue con helado de vainilla,€9 - 18,https://www.google.com/maps?q=Benoît+Castel+Paris,Francia,París
Pâtisserie du Meurice,Postre,Citron meringué de Cédric Grolet,€12 - 24,https://www.google.com/maps?q=Pâtisserie+du+Meurice+Paris,Francia,París
Tapisserie,Postre,Millefeuille de pistacho,€7 - 15,https://www.google.com/maps?q=Tapisserie+Paris,Francia,París
Un Dimanche à Paris,Postre,Chocolate caliente espeso y pralinés,€6 - 20,https://www.google.com/maps?q=Un+Dimanche+à+Paris,Francia,París
Acide,Postre,Desserts vanguardistas (como la esfera de limón),€9 - 17,https://www.google.com/maps?q=Acide+Paris,Francia,París
Bontemps,Postre,Sablés de sabores únicos (lavanda/matcha),€4 - 12,https://www.google.com/maps?q=Bontemps+Paris,Francia,París